iter	Passed	Remaining
1251	20227	12085
1252	20242	12067
1253	20256	12050
1254	20266	12030
1255	20278	12012
1256	20287	11991
1257	20297	11972
1258	20309	11953
1259	20323	11936
1260	20332	11915
1261	20347	11899
1262	20363	11882
1263	20373	11863
1264	20389	11846
1265	20399	11827
1266	20417	11812
1267	20429	11793
1268	20440	11774
1269	20450	11755
1270	20465	11738
1271	20480	11721
1272	20502	11708
