iter	Passed	Remaining
885	3001	386
886	3004	382
887	3007	379
888	3010	375
889	3013	372
890	3017	369
891	3020	365
892	3023	362
893	3026	358
894	3029	355
895	3034	352
896	3037	348
897	3041	345
898	3044	342
899	3047	338
900	3051	335
901	3054	331
902	3057	328
903	3060	325
904	3064	321
905	3068	318
906	3077	315
907	3105	314
908	3116	311
909	3125	309
910	3147	307
911	3151	304
912	3155	300
913	3158	297
914	3161	293
915	3174	291
916	3179	287
917	3183	284
918	3187	280
919	3190	277
920	3193	273
921	3196	270
922	3199	266
923	3202	263
924	3205	259
925	3208	256
926	3212	252
927	3217	249
928	3220	246
929	3223	242
930	3227	239
931	3231	235
932	3234	232
933	3237	228
934	3240	225
935	3244	221
936	3247	218
937	3250	214
938	3253	211
939	3256	207
940	3262	204
941	3265	201
942	3268	197
943	3271	194
944	3274	190
945	3278	187
946	3281	183
947	3284	180
948	3287	176
949	3291	173
950	3295	169
951	3298	166
952	3301	162
953	3304	159
954	3307	155
955	3311	152
956	3314	148
957	3317	145
958	3321	141
959	3325	138
960	3328	135
961	3332	131
962	3335	128
963	3339	124
964	3344	121
965	3348	117
966	3351	114
967	3354	110
968	3357	107
969	3361	103
970	3365	100
971	3368	97
972	3371	93
973	3374	90
974	3378	86
975	3381	83
976	3384	79
977	3387	76
978	3391	72
979	3395	69
980	3398	65
981	3401	62
982	3404	58
983	3408	55
984	3412	51
985	3415	48
986	3418	45
987	3422	41
988	3425	38
989	3428	34
990	3432	31
991	3435	27
992	3439	24
993	3442	20
994	3445	17
995	3448	13
996	3451	10
997	3455	6
998	3458	3
999	3461	0
